refArea,Illiteracy,SchoolDropout,Observation URI,references,University,publisher,Secondary,Intermediate,Vocational,Elementary,HigherEducation,Town,dataset,Governorate,District
http://dbpedia.org/resource/Byblos_District,0.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maad,https://impact.cib.gov.lb/home#open_data_section,30.0,Impact Open Data,20.0,0.0,30.0,0.0,20.0,Maad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Byblos District
http://dbpedia.org/resource/Keserwan_District,10.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maarab,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,20.0,15.0,15.0,15.0,5.0,Maarab,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,Keserwan District
https://dbpedia.org/page/Baalbek-Hermel_Governorate,5.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maaraboun,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,20.0,25.0,20.0,15.0,5.0,Maaraboun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Baalbek-Hermel Governorate,
http://dbpedia.org/resource/Tyre_District,2.0,0.05,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maarakeh,https://impact.cib.gov.lb/home#open_data_section,9.0,Impact Open Data,20.0,30.0,8.0,30.0,1.0,Maarakeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
http://dbpedia.org/resource/Tyre_District,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maaroub,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Maaroub,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
http://dbpedia.org/resource/Aley_District,30.0,20.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maasrati,https://impact.cib.gov.lb/home#open_data_section,5.0,Impact Open Data,10.0,20.0,5.0,30.0,0.0,Maasrati,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,Aley District
https://dbpedia.org/page/Mount_Lebanon_Governorate,1.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maasser+Beit+Ed-Dine,https://impact.cib.gov.lb/home#open_data_section,24.0,Impact Open Data,20.0,20.0,15.0,15.0,5.0,Maasser Beit Ed-Dine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,
https://dbpedia.org/page/Mount_Lebanon_Governorate,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maasser+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Maasser Ech-Chouf,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,
http://dbpedia.org/resource/Keserwan_District,1.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maaysra+Kesrouane,https://impact.cib.gov.lb/home#open_data_section,15.0,Impact Open Data,30.0,20.0,9.0,20.0,5.0,Maaysra Kesrouane,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,Keserwan District
http://dbpedia.org/resource/Western_Beqaa_District,1.4,2.4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Machghara,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,25.0,15.0,15.0,20.0,3.6,Machghara,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Western Beqaa District
